PNratio,BagSizePercentage,MaxDepth,NumTree,F-measure,Denbora
0,1,1,50,0.608695652173913,352610000
0,1,1,75,0.6382978723404256,115391200
0,1,1,100,0.6382978723404256,131825100
0,1,1,125,0.608695652173913,143952800
0,1,1,150,0.5957446808510638,166183900
0,1,1,175,0.608695652173913,181888700
0,1,1,200,0.608695652173913,175506700
0,1,1,225,0.608695652173913,182274200
0,1,1,250,0.6382978723404256,224206200
0,1,1,275,0.6382978723404256,191406100
0,1,1,300,0.6382978723404256,211980300
0,1,1,325,0.6382978723404256,212766000
0,1,1,350,0.6382978723404256,229730100
0,1,1,375,0.6382978723404256,248649900
0,1,1,400,0.6382978723404256,243215000
0,1,1,425,0.6382978723404256,255511400
0,1,1,450,0.6382978723404256,269791200
0,1,1,475,0.6382978723404256,281797500
5,1,1,50,0.5957446808510638,87616900
5,1,1,75,0.5957446808510638,97847500
5,1,1,100,0.5957446808510638,113897600
5,1,1,125,0.5652173913043479,121117900
5,1,1,150,0.5652173913043479,134375900
5,1,1,175,0.625,145730100
5,1,1,200,0.5957446808510638,155634100
5,1,1,225,0.625,165418300
5,1,1,250,0.625,184609200
5,1,1,275,0.625,193476300
5,1,1,300,0.5957446808510638,201097200
5,1,1,325,0.5957446808510638,208041600
5,1,1,350,0.5957446808510638,226409000
5,1,1,375,0.625,234382600
5,1,1,400,0.625,251333000
5,1,1,425,0.625,254419900
5,1,1,450,0.625,271981800
5,1,1,475,0.625,292364700
10,1,1,50,0.6222222222222222,92609600
10,1,1,75,0.6222222222222222,96605000
10,1,1,100,0.6222222222222222,112532100
10,1,1,125,0.6521739130434783,118282900
10,1,1,150,0.6222222222222222,132900700
10,1,1,175,0.608695652173913,142074700
10,1,1,200,0.6382978723404256,158203400
10,1,1,225,0.6382978723404256,165882700
10,1,1,250,0.625,181972300
10,1,1,275,0.625,189417800
10,1,1,300,0.625,203397500
10,1,1,325,0.625,213071300
10,1,1,350,0.625,223698500
10,1,1,375,0.625,232030600
10,1,1,400,0.5957446808510638,244513700
10,1,1,425,0.5957446808510638,283920200
10,1,1,450,0.625,262940700
10,1,1,475,0.625,285074100
15,1,1,50,0.6222222222222222,84395900
15,1,1,75,0.6808510638297872,94928200
15,1,1,100,0.6222222222222222,110471200
15,1,1,125,0.6222222222222222,118495800
15,1,1,150,0.6222222222222222,133010300
15,1,1,175,0.6521739130434783,145564900
15,1,1,200,0.6521739130434783,160952900
15,1,1,225,0.6521739130434783,166225600
15,1,1,250,0.6666666666666667,182158700
15,1,1,275,0.6521739130434783,188726500
15,1,1,300,0.6521739130434783,209062500
15,1,1,325,0.6521739130434783,219038800
15,1,1,350,0.6521739130434783,228701400
15,1,1,375,0.6521739130434783,238309500
15,1,1,400,0.6521739130434783,248930500
15,1,1,425,0.6521739130434783,250198800
15,1,1,450,0.6521739130434783,268825300
15,1,1,475,0.6521739130434783,273273600
20,1,1,50,0.5652173913043479,82588600
20,1,1,75,0.5957446808510638,96253700
20,1,1,100,0.5957446808510638,106975100
20,1,1,125,0.5957446808510638,116138400
20,1,1,150,0.5652173913043479,128900300
20,1,1,175,0.625,143438700
20,1,1,200,0.608695652173913,156374900
20,1,1,225,0.608695652173913,162635200
20,1,1,250,0.6382978723404256,182077100
20,1,1,275,0.6521739130434783,192980700
20,1,1,300,0.6521739130434783,201603200
20,1,1,325,0.6521739130434783,210601900
20,1,1,350,0.6521739130434783,219203800
20,1,1,375,0.6521739130434783,236438600
20,1,1,400,0.6521739130434783,245878700
20,1,1,425,0.6521739130434783,254767500
20,1,1,450,0.6521739130434783,284404600
20,1,1,475,0.6222222222222222,288974600
