id,label,message,date
subject118,1,Vengo a pedir consejos cara sonriendo con sudor frío,2021-04-19 00:53:00
subject118,1,Mi novio me terminó,2021-04-19 00:53:00
subject118,1,"Y pues estoy muy triste Llevo días sin comer bien , no me da hambre",2021-04-19 00:53:00
subject118,1,Es que ahí esta el tema .. si salgo con alguien no puedo .. me siento mal y mejor regreso a casa,2021-04-19 01:05:00
subject118,1,Cabe mencionar que es la 4 vez que terminamos,2021-04-19 01:06:00
subject118,1,Y pues si me intento refugiar en mis amigos y amigas,2021-04-19 01:06:00
subject118,1,Y mis actividades diarias,2021-04-19 01:06:00
subject118,1,Tengo estado depresivo mayor,2021-04-19 01:06:00
subject118,1,Y aún que tome el medicamento me afecta,2021-04-19 01:06:00
subject118,1,Siii yo creo que ahora si es definitivo e igual sea lo mejor,2021-04-19 01:07:00
subject118,1,Ufff se me hace bien difícil Más por qué el tipo juraba amarme y no querer perder nunca,2021-04-19 01:08:00
subject118,1,Y chaz ... volvió a suceder,2021-04-19 01:08:00
subject118,1,"Asi es y es padre el tiempo con uno , lo se",2021-04-19 01:10:00
subject118,1,"Trato de hacerlo , ya que si aveces soy un poco asocial",2021-04-19 01:10:00
subject118,1,Muchas gracias a todos y todas,2021-04-19 01:10:00
subject118,1,Hablarlo me hace sentir mejor,2021-04-19 01:10:00
subject118,1,De hecho el tema es que tengo tlp y estado depresivo mayor,2021-04-19 01:12:00
subject118,1,Así es es para siempre,2021-04-19 01:12:00
subject118,1,Pero ahí que echarle ganas,2021-04-19 01:12:00
subject118,1,Te entiendo jaja es difícil,2021-04-19 01:12:00
subject179,0,How are you doing ?,2021-06-06 00:01:00
subject179,0,That is very good,2021-06-06 00:04:00
subject179,0,I feel more Comfortable but if you want I speak Spanish,2021-06-06 00:06:00
subject179,0,From Dominican Republic 🇩 🇴,2021-06-06 00:07:00
subject179,0,More English is spoken in the east,2021-06-06 00:09:00
subject179,0,Apart my dad is canadian,2021-06-06 00:10:00
subject179,0,Si queres que te hable Espanol te hablo no problem,2021-06-06 00:11:00
subject179,0,Mi papa es arayano creo que se dice,2021-06-06 00:13:00
subject179,0,No mi mama es mas o menos de mi color,2021-06-06 00:13:00
subject179,0,Mi abuelo era dominicano y mi abuela canadiense,2021-06-06 00:14:00
subject179,0,Y tuvieron a mi papa que nacio alla,2021-06-06 00:14:00
subject179,0,Estoy haciendo la University que es mas barata aqui,2021-06-06 00:15:00
subject179,0,Adm . De empresas Turisticas,2021-06-06 00:17:00
subject179,0,Aparte me gusta mas estar aqui,2021-06-06 00:17:00
subject179,0,Salgo mas y es mas divertido aqui,2021-06-06 00:18:00
subject179,0,Es que hay algunas palabras que se me han olvidado en español y es por eso,2021-06-06 00:19:00
subject179,0,Es que debes de estudiarlo en la escuela,2021-06-06 00:21:00
subject179,0,Te dan varias clases,2021-06-06 00:21:00
subject179,0,La estoy haciendo aqui,2021-06-06 00:22:00
subject179,0,La unica clase que era el rey era en Espanol,2021-06-06 00:24:00
subject179,0,Pero no enseñan mucho,2021-06-06 00:25:00
subject179,0,Yo escucho al rapero que se llamaba canserbero,2021-06-08 02:32:00
subject179,0,Me sirve para entender algunas palabra que no me se en el idioma espanol,2021-06-08 02:32:00
