@relation IberLef-Challenge-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0

@attribute claseValue {0,1}
@attribute textValue string

@data
0,' a mi me gusta pq dan cierta incertidumbre con modificadores y demas hojas de personaje , habilidades D & D invento una nueva forma de juego pero ahora se usa el ordenador es mas sencillo que buscar gente q vayan a una casa y las figuras no estan limitadas a las que vendan , en SL te lo creas tu en fin me voy a la ducha y a la camita , que ya va siendo hora yo del Imperio Galáctico de Star Wars ahhh estuve en la isla de la palma viendo el Cumbre Vieja miraa eso lo grabe yo no hay pais en euskadi jajaja mira el volcan el 21 de octubre que pasada es algo precioso mira la ceniza volcanica cubriendo una pista de un colegio al final eres como yo noo soy de cordoba españa y donde vives ? ? en que isla ? ? uff las canarias son una pasada estuve ya en 4 pero me quedo con tenerife por turismo y con la palma por belleza hola Bur , yo no ando , toy en el sofa * jijiji no le chupes el culo ( expresion española para decir que el se lo pierde , que no vayas tras de el ) yo como adoptada q soy ya me cure en salud con la familia q les den ... a los que me hacian eso yo pasaba de ell @s solo tengo relaciones con una tia y mis primas esas los demas para mi no son nada no lo se , si crees q se olvido llamale no tienes nada que perder ahh entonces espera a mañana y llamale tu pues si , si tienes contacto con el trata de no perderlo y si te sientes solo bueno , mejor estar solo que mal acompañado . Es mas facil salir de la soledad q de las malas compañias , creeme salir de la soledad es ser algo extrovertido . No dudar en iniciar conversaciones alla donde estes en la parada del bus , en la consulta del medico cualquier lugar es bueno para decirle hola a alguien yo relajarme tras el partido y una duchita caliente pero no he jugado eh ? ? jajaja lo vi por la tele bueno usando el movil pq es de pago y ... ah q tienes gas pero gas o gases , pq no es lo mismo aunque sea parecido jijiji yo me voy a la cama que tengo poco mas de 5 h de sueño . Buenas noches buenas noches desde un remoto y olvidado rincon del Universo yo si , de dia el sol me puede volatizar pero se debe trabajar para vivir y no al reves si tienes la sensacion de que vas a vivir para ganar dinero no lo hagas el tiempo es la verdadera riqueza se va y no vuelve no es nada raro . le pasa a mucha gente pues aki esta diluviando , que falta hacia ya , pero deprime bastante buenas . con 19 años tienes toda la vida por delante , empezar una carrera y tomar el camino que desees apenas has empezado a vivir tampoco tienes mucho donde mirar atras , mas bien al reves tienes ante ti el oceano de la vida , y eres un barco en puerto asi que navega si te gusta a por ello con todas tus fuerzas normal yo tengo 1 hijo y tampoco querria bastantes años como para saber de que va la pelicula de la vida pero no tantos como para poder seguir cagandola jajaj yo mi consejo es q estudies si tienes capacidad y te gusta , y si tienes la oportunidad sobre irte a otro pais prefiero no decir nada no soy quien para decirte vete o quedate si no estas a gusto en casa y no tiene solucion entonces si me iba pero si se puede arreglar , eres querido y demas , hay q plantearselo mucho el viaje es caro y demas , y tendrías que ir y volver y todo eso o quedar aislado de lo que hoy es tu mundo , y construirte otro nuevo es una decision MUY importante nadie se va acompañado nos vamos como vinimos , solitos prefiero morirme sin darme cuenta ni yo y sola a mal acompañada con 19 años no pienses en la muerte piensa en las chicas q te vas a ... o chicos ( nunca se sabe ) mas dificil es lanzar un telescopio al espacio no se supongo que como todo yo la vi primero con miedo y luego con rabia , al final con curiosidad ... pero no me querian asi que regrese un tiempo mas Buenas . El problema es la gentecilla ( por no decir gentuza ) que te rodea . No merecen tenerte al lado y son ellos los que tienen un problema , no tú . Eres una flor en un campo de hierbas que no sirven para nada . Tú no mereces nada malo . Tu novio ese era un mierda del que tu cáncer te salvó . Lo que quiero decir es que gracias a esa enfermedad te libraste de alguien que no vale absolutamente nada . Lo mismo con todos los demás . A veces una enfermedad grave te aleja de las personas que NO valen ni para morirse . Ahora lo que tienes que hacer es luchar para vencer al cáncer ( yo tengo la suerte de haberlo logrado mediante un trasplante de hígado ) y pensar que si no hubiera sido por eso , igual te hubieras casado con ese mal nacido que te habría dejado tirada más adelante , tras robarte los mejores años de tu vida . Lucha , supera esa enfermedad y que todos vean que la rosa del jardín destaca sobre todos los hierbajos . si crees q te rechazan preguntaselo directamente y sal de dudas . Con los padres y familia tan cercana nada hay como hablar Son sus padres . Mejor hablarlo antes que tomar semejante decision y quedar con la duda eterna del  y si ...  el suicidio no arreglara nada pero a ver que ? ? no hay mas . El suicidio no sirve para nada exacto , es egoismo , huir es quitarse de enmedio q es peor yo lo tengo claro . No me pienso matar por nada ni por nadie tengo 1 vida y no se si habra mas y no la kiero perder kizas sea pq como casi me muero antes de mi trasplante , veo la vida de otro modo y el solo hecho de pensar en suicidarme me parece una barbaridad ademas de una tonteria por eso digo , la vida es lo mejor q hay de cobardes no tiene nada . Hay q tener mucho valor para hacer algo asi es una buena edad , equilibrio entre cuerpo y mente pones bien las tildes no te veo tan cateto donde vives ? ? tienes campo cerca ? ? lo digo porque por mi zona hay trabajo en la aceituna y sitios asi y pagan 50 euros por dia eh y no piden mas que que vayas la aceituna ya termino pero ahora estan con los esparragos y hay mucha gente que vive asi es mas no tienes q ir todos los dias te apuntas y el dia q no vayas no cobras y ya esta no te has rendido porque estas aqui , buscando soluciones :) perdon tengo lio entre cocina y es'
0,' Aqui estamos y tu Aqui ... Conocer gente con la misma opinion Q mchs vcs la vid es injust Y hay pocas ganas ... Buenas una pregunta Gente de España Especialmente de madrid por aqui ? Que tal Como vamos Ha oki Tb ... Casita ... Relax Haaa algun plan para hoy ? Ha que bien Pues yo casita Entrenar un poco para desconectar ... Y despued casita Algo es algo cara_sonriendo con gafas de sol cara_sacando_la_lengua y guiñando un ojo cara_con_ojos_cerrados_y_lengua_fuera cara_sacando_la_lengua y guiñando un ojo cara_sacando_la_lengua y guiñando un ojo Hola a todo @s Y feliz dia símbolo de mareo símbolo de mareo símbolo de mareo Hola Pues de momento un poco de relax ... Ya veremos despues Y tu Planes ? Muybien Eso esta bie'
0,' How are you doing ? That is very good I feel more Comfortable but if you want I speak Spanish From Dominican Republic 🇩 🇴 More English is spoken in the east Apart my dad is canadian Si queres que te hable Espanol te hablo no problem Mi papa es arayano creo que se dice No mi mama es mas o menos de mi color Mi abuelo era dominicano y mi abuela canadiense Y tuvieron a mi papa que nacio alla Estoy haciendo la University que es mas barata aqui Adm . De empresas Turisticas Aparte me gusta mas estar aqui Salgo mas y es mas divertido aqui Es que hay algunas palabras que se me han olvidado en español y es por eso Es que debes de estudiarlo en la escuela Te dan varias clases La estoy haciendo aqui La unica clase que era el rey era en Espanol Pero no enseñan mucho Yo escucho al rapero que se llamaba canserbero Me sirve para entender algunas palabra que no me se en el idioma espanol No man estoy harto del frio Me gusta la lluvia calida What is your saying ? Hablemos y reflexionemos nosotros mismos Muy joven para estar despechada Es gay usted man ? Wtf y tiene que edad ? A bueno va mas o menos Y la unica despechada tambien Hahahhahah ya lo busc'
0,' quizas es mejor que hables con ellas y le cuentes todo esto , por tu bien y por aclarar todo rollo que la digas de aclarar todo entiendo que si no quiere ella seguir la relacion o necesita un tiempo lo mejor es que lo respetes entiendo que es facil decirlo , pero no queda otra pero intenta mantener la mente ocupada y no obsesionarte con los recuerdos sobre ella y demas entiendo . Bueno , al final seguro que en el futuro llegaran personas que te acaben llenando tambien , y no solo ella Aun asi , no tienes por que perderla si lo dejais , ¿ no ? tampoco creo que sea bueno que la odies , odiar no es bueno Al final , yo creo que el tiempo todo lo cura . Quizas tu necesites años Pero vamos , no tienes por que  perderla  cuanto llevas sin ver a tu familia y amigos ? yo soy de españa No se si estarás de acuerdo conmigo Z Ah si , es reiterado Oye otra vez spam xddd Space Jam con Lola Indigo Y otra vez Space Jam encima Xd pero deja de pasarlo no ? Que te pasa ImA Otra vez dios mio A que se debe ese odio ? Que ha pasado para teuncarte la vida Siento mucho eso . De verdad no tiene cura ? O algún tratamiento para mitigar daños O futuros daños mayores Y no puedes denunciar a la empresa que te mantuvo en esas condiciones ? Buenas tardes en españa me alegroo , yo bien tamb Ah , ya vi que paso Bien métido el warm ese Liados ? A que te refieres Puede que no te responda simplemente porque no le apetece O quiere desconectar del móvil una temporada Hay muchas razones no ? A ver , depende , es que cada persona es un mundo Yo por ejemplo apenas uso WhatsApp ni respondo mensajes En parte porque no me gusta y quiero desconectar Y también porque no he  quedado  con nadie etc etc Si tu con esa persona tienes un vinculo mayor que el de hablaros cada mucho tiempo y demas Pues si , que te responda Es entendible tu queja Es que eso es tan relativo nose Por ejemplo , si es tu pareja quien no te responde , al tener un vínculo tan estrecho es entendible que te frustres Es que relaciones estrechas hay pocas Familiares y a veces ni eso , y pareja O amigos muy muy cercanos Pero bueno , si en alguna etapa te tienes que dar un respiro , te puede venir bieb Yo antes hacia como tu , siempre al loro , pero me di cuenta de que me quemaba mucho estar así todo el rato . Si a ti no te quema , perfecto la vd Yaya , depende cada uno Como mejor te sientas , sin llegar tampoco a tener una dependencia excesiva hola tio , que tal vas ? me alegro , pollo esta contento ? que mitica la cancion ofu es broma , que te pasa ? por eso radiohead pone a - 40 de velocidad su musica gracias por la data pala que tal denis , como va pollo ? hablala mañana sino , en plan que se vea natural no te quedes con las ganas eras la de argentina no ? Denis , como es que te fuiste del grupo ? @USER Esta bien evadirse la verdad Algo que te permita liberar tension Yo creo que sí que pueden servir para liberar tension Yo igual en vd , pero me sirve como motivación Me motiva darlo todo aunque sea en un videojuego yo solo en mi cuarto Y no caer tampoco en adicciones Fuerza con todo eso . Seguro que poco a poco irá mejor Estabas yendo a una psicóloga no ? Joder llamando a tu madre que tipo Tu ya pasaste de responderle y ahora va a por tu madre ? Dile a tu madre que pase o algo porque sino ... Es un amigo del que se quiere distanciar porque debe ser mu toxico el tipo Dile a tu madre que ni le pille el teléfono porque sino .. m Si no entiende que quieras distanciarte , allá el Hombre , si encima fuese de malas Tu madre que le ha dicho ? Debe aceptar que tu quieras distanciarte . Es tu vida por dios , borra eso , no compartas estas imagenes por aqui si quieres podemos hablar estos asuntos , para evitarse , pero no pases imagenes de esto las reglas del grupo ( creo ) que lo prohiben se refiere a @USER por eso le ha etiquetado se ha ido mucha gente del grupo no ? yo lo decia por vivi no lo sabia , no se que paso la vd ni me entere pero era buen chaval yo creo o eso parecia akira de donde eres ? bueno , algo es algo pero que pasa con tus amigos ? pasan de ti ? entiendo , vamos que no hacen caso cuando quieres hablar con ellos de las cosas que te pasan en vida o por la cabeza es mejor que esa gente no este cerca de ti , porque si solo piensan en si mismos se esta mejor sol @ que mal acompañad @ que cancion mas buena O de algún poema hoy saco cancion radiohead amigos te gusta mucho mayhem o el black metal en general ? @USER tambien me vi el documental que creo que se llama igual a mi me parece muy buena la verda'
0,' No sé si contar lo que me pasa ahora en este momento porque tal ves es una tontería y yo sola me estoy ahogando en un vaso de agua . Pasa que empecé hablar con un chavo entonces el siempre muy respetuoso conmigo entonces resulta que el día de ayer nos conocimos en persona yo fui al lugar donde el vive y estuvimos conviviendo un rato después de eso terminamos teniendo relaciones y no se si tengo sentimiento de culpa oh tal ves es que el me decepcionó porque tenía otro concepto de el . Te lo agradezco de verdad Hola mano_saludando saludos Saludos también para ti Ya mejor que en la mañana Cómo que tú comentario está algo fuera de contexto no crees cara_sonriendo con superioridad cara_sonriendo con superioridad La mayoría no lo puede tomar con gracia Si es asi haber que pasa cara_gritando_de_miedo cara_gritando_de_miedo Con eso lo rompiste de más jajaja Yo soy de Guadalajara Acá está uno tan acostumbrado al picante que si está no le pones no sabe buena El gusto es mío Eso es un circulo vicioso que si no cortas de tajo al final va acabar contigo tienes que empezar ah valorarte y a pensar más en ti aprender a ser egoísta y decir que no no me digas que quieres seguir con eso toda tu vida . Espero que de algo te sirva lo que te dije Has tratado de hablar con el ? Buenos días a todos saludos cara_con_manos_abrazando Nuevamente buenos días a todos Aquí pareciera que no hay nadie Tu crees que alguien te va a recomendar algo para que lo hagas claro que no Hay algo que te paso el cual te orillo ah tomar esa decisión ? En un principio te va a doler pero ya después tu solo vas a ir descubriendo que lo que hiciste fue lo mejor Hola buenos días a todos soy nueva aquí en este grupo espero que todos estén muy bien saludos Estoy más o menos pero hay la llevo no me queda de otr'
0,' Tócate cara_llorando_de_risa cara_llorando_de_risa cara_llorando_de_risa Por una paja al día no vas a adelgazar Venga todo el mundo a hacerse pajas Estas antojado y lo sabes jajaja Os gusta dar por culo A pelo la vas a meter y explotar al minuto Vas a meterla y hacer uu Uhhh hhahhhhh ya acabé No dejes que te la chupe mucho Ese es mi consejo Primero comeselo y q ella termine Así luego vas sin presion Al eñla estar liberada prohibido Eso va a decir ell'
0,' Ir un poco mejor Y tu que tal No me conformo pero es bueno cara_triste_pero_aliviada corazón_rojo Y a eso vengo Haber que me cuentan de sus vidas Mi apellido es Alvizo Ya no está Nicolás ? Perdí mi cel y ya no la pude recuperar Cuéntenme que tal si día Bueno solo quiero decirles que mi día va de la mierdaa Es la 1 ; 32 AM y ya vamos ma'
0,' Soy de Latinoamérica no uso eso El profesor no hizo una poronga Que todo el mundo se joda Me sali de la clase Si no insisto me dejan como una mierda no se preocuparon pero a las otras chicas populares las atienden en seguida Yo que pedo estoy pintada o queee ? ! ! Bueno y me clamó Es lo mismo ! ! Nunca nadie me responde , jaajajjsja quien le me va responder si seguramente no le convenga a nadie Nadie quiere ser mi amigo pq soy alguien problematica Siempre me ridiculisan en el grupo dejándome en visto o cerrando el grupo Literal me cierran el grupo Que noooo , el prefe nunca ve mis mensajes Estan locos que voy a llamar al profesor Creo que ya me llene d venganza Tenia que ser escorpión xD Bueno creo que are eso Se los dije en la cara Creo que en forma de indirecta ? Y lo dije en el grupo del salon Todos lo van a ver Los profesores y alumnos Creyeron que me Iván a dejar como un zapato ? Pus no mis cielas Entrare a la otra clase JJajajajaj todavia no supero lo del profe O si no con todo gusto Pero de que lo hice con todo respeto pero con forma d patada en el estomago estoy bien Claro que su , asi me gusta hacer las cosas Jajaja esa si fue buena Suelo tener este tipo de problemas Mis compañeros aman joderme y tratarme como un sorete Una chica se hasta me preguntó si mi mamá avía escrito eso Y quedo como un payaso Aveses se sienten tristes pero ... no saben pq ? Se sienten basios y no saben que les falta ? A mi me pasa todos los dias Faltan mas personas como vivi en el mundo Pero pq estas triste ? Tengo una teoria sobre la destrucción de los dinosaurios Casi ni nos vemos pero bueno Nel ni me respondió , ni siquiera me miro a los ojos Que le pasa ? ! Tiene tal vez a la mejor chica del mundo ! Digo tal vez pq se me sale lo psicópata Diossss cuál es la obsesión con estudiarrr Zi pero no tanto Yo no me termine Pokémon Y no me se ningun movimiento para lanzar :( Oigan yo les recomiendo un canal de musica muyyyy bueno Se llama steven fan A mi me gusta algo mas tranquilo pero punk Estiy cansada de que la gente diga eso Tu edad no es problema para escuchar un tipo de música , para opinar acerca de algo , usar ropa que a ti te guste , o sentirte de una forma ... mientras este bien , y sientas bien con eso no hay problema o si ? Chicos me tengo que ir tenia ganas de hablar con mi padrinoski Ferb hablamos luego bendiciones para el grupo Ferb Ωμέγα Νυχτάγγελος @USER A que no sabes quien vino a el fin de semana a mi casa No se si es mejor Puff , el domingo mi mamá celebro su cumple Tu forma de ser A mi no me gusta poner mi cara Primero dire como fue mi fin de semana Comienzo a pensar que no puedo estar un momento feliz pq me vienen cosas negativas encima Que tiene que ver ? Como hago para que no suene patético Vino a la fiesta Y como fue tu fin de semana ? Nunca te abia visto Que le pasa a ferb xD No debí decir nada del fin de semana Pero si se están burlando de mi Tengo 12 que te pasa Me saludas a viví Y a not name La pasamos re bien como amigos nos divertimos y ya Y me di cuenta que si me quiere y que todo es pa creerce el dificil Chauuu se me cuidan Las cosas con el chico van de mal en peor Solo esta jugando conmigo El solo se rie de mi E dado todo por el Nunca debi aver dado mi edad Estoy cansada de que me critiquen por mi edad Ya ni me ayudan solo se burlan de mi Te tengo una nueva Me escribe como una persona normal , no frio Un dia si y otro no xd Si dios hubiese querido que nos bañecemos todos los días , seríamos peces en mar y no humanos en la tierra . Zi pero son gatos Nunca e escuchado eso Se lo suficiente xD Tal vez despued de semana santa Pero solo es una teoría Ya no podremos hablar Bueno ... creo que es todo por hoy ? Adios ? No hay nadie ? Yo me tengo que ir , tengo hambre Ya saben vuelvo mañana SALUDOS A LA GENTE DEL PUEBLOOOOOOO Te gusta Miraculous ? ! A mi también Saludos a mi padrinoski Ferb que me hizo caso y se puso la foto de fer'
0,' Linda tarde a todos Espero no interrumpir nada Yo sé cómo te sientes , pero tranquilo tranquilo respira respira profundamente , aveces eso nos pasa vemos que ya no hay solución para nuestra vida pero debes respirar y estar lo más tranquilo que puedas , verás que si estas tranquilo verás las cosas de otra manera Y podrás resolver tu problema Excelente día Es viernes y él cuerpo lo sabe ... Sabe que no saldrá a ningún lado cara_radiante_con_ojos_sonrientes Ami me daba anciedad de comer aveces ni sabía que quería pero me distraía salía a caminar o me ponía a barrer o hacer cualquier cosa para que mi mente se mantuviera ocupada Ami tampoco me diagnosticaron pero en mi subcociencia sabía que tenía cara_feliz_con_ojos_sonrientes así que prefería mantener mi mente ocupada Yo en cambio dormía muchoooo asta que me dijieron que eso estaba mal y empese a darme cuenta que siii me estaba pasando algo pero nunca he pedido ayuda ni nada no soy de esas personas no creo en la ayuda yo se que sólo tú te puedes ayudar Quizás siiii pero yo no puedo con eso jajajajaja tengo criaturas en casa y es un caos Siii ese si es un buen método lo aplico seguido No siempre eeee aveces sólo empeora las cosas Pueden llegar a empeorar tu estado de ánimo Pues yo he aprendido que sólo yo me.puedo ayudar y lo he aprendido a la.mala . Bueno esque he sido de la personas que da toda la confianza para contar mis cosas pero terminan siendo contadas a más personas por eso digo que he aprendido a la mala a no confiar No te preocupes de echo no te entendí cara_radiante_con_ojos_sonrientes Es súper feo que sean así las personas y más porque te an contado cosas de sus vidas y tú no las cuentas y aparte las has apoyado siempre para que . ? ? ? Para que terminen dándote la espalda De echo creo que así son muchas personas Es como raro porque termina por dormirme Pues siiiii pero aveces es como que necesario que alguien te escuché es porque handas vulnerable Si pero cuando es uno sincero lo toman a prepotencia Yo no le sé Recuerda que sólo tú te puedes ayudar Pues tu tienes el poder de cambiarlo Sólo uno . mismo tiene el poder de cambiar nuestra forma de pensar nuestra forma de sentirnos Nadie más puede hacer nada por ti sólo tú Si tu dices me siento mal te vas a sentir mal si tu dices me siento bien y voy estar bien soy fuerte ceras que lo lograrás Cada día es una nueva oportunidad para cambiar lo que no nos gusta de nosotros Si piensas en cosas malas te pasarán cosas malas si piensas cosas buenas te pasará cosas buenas Siii te entiendo muy . Bien mejor de lo que imaginar ... En ocasiones quería desaparecer a todo el que.me.hablaba Es una sensación horrible pero debes aprender avivir tranquilamente En ocasiones es frustración También si va al hospital podría ser contraproducente porqr lo podría someter o diagnosticar con covid o el otro virus Sería mejor que tú solo te controles Esque deben ser fuerte Y si por ejemplo intentan morir y no se mueren ... Yo digo que si estas vivo aún es por alguna razón Y si te toca estar vivo debes luchar con la vida Porque la vida te grita ... TE LEVANTAS O TE UNDO MÁS Las vida es los valientes de los fuertes y si estamos vivos es porque somos fuertes y valientes La vida no te dará más de los que aguantes Es como el dicho si la vida te da limones haste limonada ... Oooooo mejor aún Si la vida te da la espalda agarrale las nalgas cara_sonriendo con superioridad Espero puedas agarrale las nalgas a la vida y saboreala El Consejo de agarrar la vida por las nalgas y saboreala es para todos ok No . Por favor no te quites la vida . No lo hagas . Así una sola persona en este mundo te ame , tienes a alguien . Puede que tú tampoco lo sepas o sólo sea tu mascota la que te ame . Por mucho que suene tentadora la idea en tu cabeza , no lo hagas . El futuro es el por venir , pronto conocerás a más personas y todo mejorará . Las cosas cambian , lo que tarden , pero cambian . Todo a su tiempo . Sé fuerte y valiente . Que sigas hoy aquí me hace sentir orgulloso de ti corazón_rojo Sigue adelante ! You can do it ! '
0,' cara_sonriendo con sudor frío cara_sonriendo con sudor frío cara_sonriendo con sudor frío tt mio Y aqui d q hablais Si tt pero sinseramente no se d q hablar Si y yo para cortarme Ya t digo y yooo Tanbien t gusta el Pos si como yo c billie y lil pieep Pos yo no la e escuchado bien pero se be biena Estoy enplacando a henrry tt cara_llorando_de_risa cara_llorando_de_risa Esta como loco cara_llorando_de_risa cara_llorando_de_risa Metiendolo en una placa fula No no pero tu no sales en conversación para q no t Jofan Tt tengo ganas d cuchillo de cocin'
