@relation IberLef-Challenge
@attribute 'claseValue' {0,1}
@attribute 'textValue' string
@data
1,"Vengo a pedir consejos cara_sonriendo con sudor frío"
1,"Mi novio me terminó"
1,"Y pues estoy muy triste Llevo días sin comer bien , no me da hambre"
1,"Es que ahí esta el tema .. si salgo con alguien no puedo .. me siento mal y mejor regreso a casa"
1,"Cabe mencionar que es la 4 vez que terminamos"
1,"Y pues si me intento refugiar en mis amigos y amigas"
1,"Y mis actividades diarias"
1,"Tengo estado depresivo mayor"
1,"Y aún que tome el medicamento me afecta"
1,"Siii yo creo que ahora si es definitivo e igual sea lo mejor"
1,"Ufff se me hace bien difícil Más por qué el tipo juraba amarme y no querer perder nunca"
1,"Y chaz ... volvió a suceder"
1,"Asi es y es padre el tiempo con uno , lo se"
1,"Trato de hacerlo , ya que si aveces soy un poco asocial"
1,"Muchas gracias a todos y todas"
1,"Hablarlo me hace sentir mejor"
1,"De hecho el tema es que tengo tlp y estado depresivo mayor"
1,"Así es es para siempre"
1,"Pero ahí que echarle ganas"
1,"Te entiendo jaja es difícil"
0,"How are you doing ?"
0,"That is very good"
0,"I feel more Comfortable but if you want I speak Spanish"
0,"From Dominican Republic 🇩 🇴"
0,"More English is spoken in the east"
0,"Apart my dad is canadian"
0,"Si queres que te hable Espanol te hablo no problem"
0,"Mi papa es arayano creo que se dice"
0,"No mi mama es mas o menos de mi color"
0,"Mi abuelo era dominicano y mi abuela canadiense"
0,"Y tuvieron a mi papa que nacio alla"
0,"Estoy haciendo la University que es mas barata aqui"
0,"Adm . De empresas Turisticas"
0,"Aparte me gusta mas estar aqui"
0,"Salgo mas y es mas divertido aqui"
0,"Es que hay algunas palabras que se me han olvidado en español y es por eso"
0,"Es que debes de estudiarlo en la escuela"
0,"Te dan varias clases"
0,"La estoy haciendo aqui"
0,"La unica clase que era el rey era en Espanol"
0,"Pero no enseñan mucho"
0,"Yo escucho al rapero que se llamaba canserbero"
0,"Me sirve para entender algunas palabra que no me se en el idioma espanol"
0,"No man estoy harto del frio"
0,"Me gusta la lluvia calida"
0,"What is your saying ?"
0,"Hablemos y reflexionemos nosotros mismos"
0,"Muy joven para estar despechada"
0,"Es gay usted man ?"
0,"Wtf y tiene que edad ?"
0,"A bueno va mas o menos"
0,"Y la unica despechada tambien"
0,"Hahahhahah ya lo busco"
0,"a mi me gusta pq dan cierta incertidumbre"
0,"con modificadores y demas"
0,"hojas de personaje , habilidades"
0,"D & D invento una nueva forma de juego"
0,"pero ahora se usa el ordenador"
0,"es mas sencillo que buscar gente q vayan a una casa"
0,"y las figuras no estan limitadas a las que vendan , en SL te lo creas tu"
0,"en fin me voy a la ducha y a la camita , que ya va siendo hora"
0,"yo del Imperio Galáctico de Star Wars"
0,"ahhh estuve en la isla de la palma viendo el Cumbre Vieja"
0,"miraa eso lo grabe yo"
0,"no hay pais en euskadi jajaja"
0,"mira el volcan el 21 de octubre"
0,"que pasada es algo precioso"
0,"mira la ceniza volcanica cubriendo una pista de un colegio"
0,"al final eres como yo"
0,"noo soy de cordoba españa"
0,"y donde vives ? ? en que isla ? ?"
0,"uff las canarias son una pasada estuve ya en 4 pero me quedo con tenerife por turismo"
0,"y con la palma por belleza"
0,"hola Bur , yo no ando , toy en el sofa * jijiji"
0,"no le chupes el culo ( expresion española para decir que el se lo pierde , que no vayas tras de el )"
0,"yo como adoptada q soy ya me cure en salud con la familia"
0,"q les den ... a los que me hacian eso yo pasaba de ell @s"
0,"solo tengo relaciones con una tia y mis primas esas"
0,"los demas para mi no son nada"
0,"no lo se , si crees q se olvido llamale"
0,"no tienes nada que perder"
0,"ahh entonces espera a mañana y llamale tu"
0,"pues si , si tienes contacto con el trata de no perderlo"
0,"y si te sientes solo bueno , mejor estar solo que mal acompañado . Es mas facil salir de la soledad q de las malas compañias , creeme"
0,"salir de la soledad es ser algo extrovertido . No dudar en iniciar conversaciones alla donde estes"
0,"en la parada del bus , en la consulta del medico"
0,"cualquier lugar es bueno para decirle hola a alguien"
0,"yo relajarme tras el partido y una duchita caliente"
0,"pero no he jugado eh ? ? jajaja"
0,"lo vi por la tele"
0,"bueno usando el movil pq es de pago y ..."
0,"ah q tienes gas"
0,"pero gas o gases , pq no es lo mismo aunque sea parecido jijiji"
0,"yo me voy a la cama que tengo poco mas de 5 h de sueño . Buenas noches"
0,"buenas noches desde un remoto y olvidado rincon del Universo"
0,"yo si , de dia"
0,"el sol me puede volatizar"
0,"pero se debe trabajar para vivir y no al reves"
0,"si tienes la sensacion de que vas a vivir para ganar dinero no lo hagas"
0,"el tiempo es la verdadera riqueza"
0,"se va y no vuelve"
0,"no es nada raro . le pasa a mucha gente"
0,"pues aki esta diluviando , que falta hacia ya , pero deprime bastante"
0,"buenas . con 19 años tienes toda la vida por delante , empezar una carrera y tomar el camino que desees"
0,"apenas has empezado a vivir"
0,"tampoco tienes mucho donde mirar atras , mas bien al reves"
0,"tienes ante ti el oceano de la vida , y eres un barco en puerto asi que navega"
0,"si te gusta a por ello con todas tus fuerzas"
0,"normal yo tengo 1 hijo y tampoco querria"
0,"bastantes años como para saber de que va la pelicula de la vida"
0,"pero no tantos como para poder seguir cagandola jajaj"
0,"yo mi consejo es q estudies si tienes capacidad y te gusta , y si tienes la oportunidad"
0,"sobre irte a otro pais prefiero no decir nada"
0,"no soy quien para decirte vete o quedate"
0,"si no estas a gusto en casa y no tiene solucion entonces si me iba"
0,"pero si se puede arreglar , eres querido y demas , hay q plantearselo mucho"
0,"el viaje es caro y demas , y tendrías que ir y volver y todo eso o quedar aislado de lo que hoy es tu mundo , y construirte otro nuevo"
0,"es una decision MUY importante"
0,"nadie se va acompañado"
0,"nos vamos como vinimos , solitos"
0,"prefiero morirme sin darme cuenta ni yo"
0,"y sola a mal acompañada"
0,"con 19 años no pienses en la muerte"
0,"piensa en las chicas q te vas a ..."
0,"o chicos ( nunca se sabe )"
0,"mas dificil es lanzar un telescopio al espacio"
0,"no se supongo que como todo"
0,"yo la vi primero con miedo y luego con rabia , al final con curiosidad ... pero no me querian asi que regrese un tiempo mas"
0,"Buenas . El problema es la gentecilla ( por no decir gentuza ) que te rodea . No merecen tenerte al lado y son ellos los que tienen un problema , no tú . Eres una flor en un campo de hierbas que no sirven para nada . Tú no mereces nada malo . Tu novio ese era un mierda del que tu cáncer te salvó . Lo que quiero decir es que gracias a esa enfermedad te libraste de alguien que no vale absolutamente nada . Lo mismo con todos los demás . A veces una enfermedad grave te aleja de las personas que NO valen ni para morirse . Ahora lo que tienes que hacer es luchar para vencer al cáncer ( yo tengo la suerte de haberlo logrado mediante un trasplante de hígado ) y pensar que si no hubiera sido por eso , igual te hubieras casado con ese mal nacido que te habría dejado tirada más adelante , tras robarte los mejores años de tu vida . Lucha , supera esa enfermedad y que todos vean que la rosa del jardín destaca sobre todos los hierbajos ."
0,"si crees q te rechazan preguntaselo directamente y sal de dudas . Con los padres y familia tan cercana nada hay como hablar"
